"MUNDISSEC","total_len","lcc_len","connectivity","year"
"08019301001",1332.16800984936,1249.2503754373,0.937757374596142,2017
"08019301002",117.815710560342,117.815710560342,1,2017
"08019301003",224.863544849684,224.863544849684,1,2017
"08019301004",307.923493400947,191.988072372199,0.623492771700312,2017
"08019301007",315.138154443789,0,0,2017
"08019301008",108.122633996274,0,0,2017
"08019301010",87.4913337462727,0,0,2017
"08019301013",63.4325753333629,0,0,2017
"08019301014",25.4819658351165,0,0,2017
"08019301018",78.6290051378323,0,0,2017
"08019301020",138.882771637514,0,0,2017
"08019301021",65.7632738944633,0,0,2017
"08019301026",44.8599161625887,44.8599161625887,1,2017
"08019301030",1954.14186876194,1954.14186876194,1,2017
"08019301031",20.5796003250751,20.5796003250751,1,2017
"08019301032",1716.32681851576,262.720028307336,0.153071096642614,2017
"08019301035",58.9220451650568,0,0,2017
"08019301036",610.196455221946,0,0,2017
"08019301043",2466.88280043994,2466.88280043994,1,2017
"08019301052",113.794214374826,113.794214374826,1,2017
"08019301055",1190.99664584916,1190.99664584916,1,2017
"08019302001",1093.51472479288,1093.51472479288,1,2017
"08019302003",309.25647774097,309.25647774097,1,2017
"08019302004",26.6172734984717,26.6172734984717,1,2017
"08019302006",267.464769569911,267.464769569911,1,2017
"08019302007",212.607693026755,212.607693026755,1,2017
"08019302008",279.572594406134,279.572594406134,1,2017
"08019302009",729.064285304289,729.064285304289,1,2017
"08019302010",187.609703060678,187.609703060678,1,2017
"08019302011",272.827033889676,272.827033889676,1,2017
"08019302012",325.599364248007,325.599364248007,1,2017
"08019302013",1071.45575378946,1071.45575378946,1,2017
"08019302014",56.070669978006,56.070669978006,1,2017
"08019302015",126.228972056596,126.228972056596,1,2017
"08019302016",881.806814898683,881.806814898683,1,2017
"08019302017",403.715695275375,403.715695275375,1,2017
"08019302018",149.611729309706,149.611729309706,1,2017
"08019302019",737.847961134274,737.847961134274,1,2017
"08019302020",1232.92876547708,1232.92876547708,1,2017
"08019302021",546.256608831712,546.256608831712,1,2017
"08019302022",324.110880544432,324.110880544432,1,2017
"08019302023",295.471940711762,295.471940711762,1,2017
"08019302024",303.680795193539,303.680795193539,1,2017
"08019302027",259.270753669088,259.270753669088,1,2017
"08019302028",134.039414891713,134.039414891713,1,2017
"08019302029",133.833799756016,133.833799756016,1,2017
"08019302032",396.739377412291,396.739377412291,1,2017
"08019302033",137.930012810719,137.930012810719,1,2017
"08019302037",135.250701227298,135.250701227298,1,2017
"08019302039",135.415109951615,135.415109951615,1,2017
"08019302040",388.246528786392,388.246528786392,1,2017
"08019302041",19.9269739039208,19.9269739039208,1,2017
"08019302043",137.900464963614,137.900464963614,1,2017
"08019302044",131.615730985707,131.615730985707,1,2017
"08019302048",136.736412081001,136.736412081001,1,2017
"08019302049",629.87149050735,629.87149050735,1,2017
"08019302051",385.392816785713,385.392816785713,1,2017
"08019302052",590.491577115065,590.491577115065,1,2017
"08019302053",282.936800383749,282.936800383749,1,2017
"08019302055",133.418747121141,133.418747121141,1,2017
"08019302056",750.20668181625,750.20668181625,1,2017
"08019302057",575.211866452621,575.211866452621,1,2017
"08019302058",134.222579869771,134.222579869771,1,2017
"08019302059",132.620856672813,132.620856672813,1,2017
"08019302060",743.547149685444,743.547149685444,1,2017
"08019302061",533.031479715248,533.031479715248,1,2017
"08019302062",334.454273736408,334.454273736408,1,2017
"08019302063",618.208352893399,618.208352893399,1,2017
"08019302064",134.187501150272,134.187501150272,1,2017
"08019302065",134.485648909721,134.485648909721,1,2017
"08019302066",134.052966501852,134.052966501852,1,2017
"08019302067",667.5189029655,667.5189029655,1,2017
"08019302068",435.266240308356,435.266240308356,1,2017
"08019302069",373.582530804063,373.582530804063,1,2017
"08019302070",133.475754374474,133.475754374474,1,2017
"08019302071",936.128863230903,936.128863230903,1,2017
"08019302072",563.229342875212,563.229342875212,1,2017
"08019302073",481.490991369683,481.490991369683,1,2017
"08019302075",200.221128213823,200.221128213823,1,2017
"08019302076",550.315526932869,550.315526932869,1,2017
"08019302077",157.338950114563,157.338950114563,1,2017
"08019302078",920.316536504986,920.316536504986,1,2017
"08019302079",702.204239966599,702.204239966599,1,2017
"08019302080",295.835836804276,295.835836804276,1,2017
"08019302081",371.438747940149,371.438747940149,1,2017
"08019302082",649.882414731301,649.882414731301,1,2017
"08019302083",465.902323176798,465.902323176798,1,2017
"08019302084",267.653154918256,267.653154918256,1,2017
"08019302085",832.256962357326,832.256962357326,1,2017
"08019302086",421.76589879034,421.76589879034,1,2017
"08019302088",537.529447394379,537.529447394379,1,2017
"08019302089",133.712180791951,133.712180791951,1,2017
"08019302090",134.82038468668,134.82038468668,1,2017
"08019302091",798.831469372945,798.831469372945,1,2017
"08019302092",396.754185296849,396.754185296849,1,2017
"08019302093",267.30921892623,267.30921892623,1,2017
"08019302094",268.28617027309,268.28617027309,1,2017
"08019302095",402.761178047375,402.761178047375,1,2017
"08019302096",269.580356390214,269.580356390214,1,2017
"08019302099",131.286423099708,131.286423099708,1,2017
"08019302100",141.322917121057,141.322917121057,1,2017
"08019302101",404.598621210424,404.598621210424,1,2017
"08019302104",46.521153315306,46.521153315306,1,2017
"08019302106",416.051029784544,416.051029784544,1,2017
"08019302107",420.33412672323,420.33412672323,1,2017
"08019302108",823.759318509217,823.759318509217,1,2017
"08019302109",384.45421492976,384.45421492976,1,2017
"08019302110",772.505894042422,772.505894042422,1,2017
"08019302111",523.701059325798,523.701059325798,1,2017
"08019302112",685.356446198866,685.356446198866,1,2017
"08019302113",133.628886245817,133.628886245817,1,2017
"08019302114",134.693015264464,134.693015264464,1,2017
"08019302117",133.833721405952,133.833721405952,1,2017
"08019302118",479.506411184781,479.506411184781,1,2017
"08019302119",134.374393804663,134.374393804663,1,2017
"08019302120",134.989096673792,134.989096673792,1,2017
"08019302121",121.461047888944,121.461047888944,1,2017
"08019302122",268.602094177535,268.602094177535,1,2017
"08019302123",133.417017929647,133.417017929647,1,2017
"08019302125",190.624279135912,190.624279135912,1,2017
"08019302126",199.962464098004,199.962464098004,1,2017
"08019302127",143.61553364773,143.61553364773,1,2017
"08019302128",133.865019512963,133.865019512963,1,2017
"08019302129",337.619558298272,337.619558298272,1,2017
"08019302134",167.122260736561,167.122260736561,1,2017
"08019302135",140.928877324911,140.928877324911,1,2017
"08019302137",187.462479904768,187.462479904768,1,2017
"08019302138",89.9666002197802,89.9666002197802,1,2017
"08019302139",350.975137024517,350.975137024517,1,2017
"08019302141",133.272720637646,133.272720637646,1,2017
"08019302142",669.681866366058,669.681866366058,1,2017
"08019302143",666.021508165871,666.021508165871,1,2017
"08019302144",414.827459309921,414.827459309921,1,2017
"08019302145",416.135009280352,416.135009280352,1,2017
"08019302146",133.876032580969,133.876032580969,1,2017
"08019302147",267.357958837961,267.357958837961,1,2017
"08019302148",770.916153632816,770.916153632816,1,2017
"08019302149",520.420177955252,520.420177955252,1,2017
"08019302150",340.452760724926,340.452760724926,1,2017
"08019302151",326.948877552584,326.948877552584,1,2017
"08019302152",134.111379073985,134.111379073985,1,2017
"08019302154",313.962636067376,313.962636067376,1,2017
"08019302155",191.544250492235,191.544250492235,1,2017
"08019302156",132.575857066731,132.575857066731,1,2017
"08019302157",133.659477515758,133.659477515758,1,2017
"08019302158",133.502091975608,133.502091975608,1,2017
"08019302159",415.897473970739,415.897473970739,1,2017
"08019302160",421.425735147992,421.425735147992,1,2017
"08019302162",138.612642562968,138.612642562968,1,2017
"08019302163",269.114535582429,269.114535582429,1,2017
"08019302164",389.591967321947,389.591967321947,1,2017
"08019302166",125.386809768951,125.386809768951,1,2017
"08019302169",388.313631863941,388.313631863941,1,2017
"08019302170",471.926640949528,471.926640949528,1,2017
"08019302171",379.199740590868,379.199740590868,1,2017
"08019302172",133.488772401498,133.488772401498,1,2017
"08019302173",401.805235994707,401.805235994707,1,2017
"08019303020",149.799050839294,149.799050839294,1,2017
"08019303025",5329.39377158322,0,0,2017
"08019303047",215.941321896566,215.941321896566,1,2017
"08019303048",485.135540477601,485.135540477601,1,2017
"08019303051",52.4512632995351,0,0,2017
"08019303052",103.055062020377,0,0,2017
"08019303053",39.0245565029841,0,0,2017
"08019303054",643.773246072321,0,0,2017
"08019303055",106.425494224963,0,0,2017
"08019303056",158.083426354642,0,0,2017
"08019303057",120.640648737848,0,0,2017
"08019303058",500.544309370095,0,0,2017
"08019303060",145.192609033663,0,0,2017
"08019303061",38.6012746029354,0,0,2017
"08019303062",46.9595619791915,0,0,2017
"08019303063",194.341600158657,0,0,2017
"08019303088",190.927496410555,190.927496410555,1,2017
"08019303089",202.544419074337,202.544419074337,1,2017
"08019303090",248.556390981189,248.556390981189,1,2017
"08019303096",12.2287551350305,12.2287551350305,1,2017
"08019303100",10.9892496346375,0,0,2017
"08019303105",70.4436955881407,0,0,2017
"08019303106",197.377495294888,73.2774788895219,0.37125549080478,2017
"08019303107",72.0974901121044,72.0974901121044,1,2017
"08019303108",212.02032525971,0,0,2017
"08019303113",551.092323160153,551.092323160153,1,2017
"08019303114",354.421813136766,354.421813136766,1,2017
"08019304001",284.203566008863,284.203566008863,1,2017
"08019304002",381.321072317074,381.321072317074,1,2017
"08019304003",119.007798978321,119.007798978321,1,2017
"08019304009",331.418409897586,331.418409897586,1,2017
"08019304012",274.143623863844,274.143623863844,1,2017
"08019304015",157.884276190399,157.884276190399,1,2017
"08019304016",208.534114605903,197.722751162591,0.948155420691026,2017
"08019304017",421.397759327813,405.396558293547,0.962028272148883,2017
"08019304018",335.253041837272,335.253041837272,1,2017
"08019304019",266.525196066782,266.525196066782,1,2017
"08019304022",344.158581148483,344.158581148483,1,2017
"08019304023",874.954319800864,874.954319800864,1,2017
"08019304024",519.083781138415,519.083781138415,1,2017
"08019304028",232.837800484781,232.837800484781,1,2017
"08019304029",46.716231936189,0,0,2017
"08019304030",277.593292358998,122.427240332286,0.441030974818934,2017
"08019304031",244.855230846787,244.855230846787,1,2017
"08019304032",241.869027088711,241.869027088711,1,2017
"08019304034",333.131058189623,0,0,2017
"08019304043",225.494853484491,0,0,2017
"08019304046",238.881645085817,0,0,2017
"08019304047",494.132886938668,0,0,2017
"08019304049",791.034449400227,0,0,2017
"08019304050",144.072331966876,144.072331966876,1,2017
"08019304052",505.905124136721,281.099182701207,0.555636164351718,2017
"08019304053",2008.7185533707,182.70942382257,0.0909581999508976,2017
"08019304055",442.044609225849,0,0,2017
"08019304084",53.2881204776638,0,0,2017
"08019305005",950.630101298346,0,0,2017
"08019305006",30.0962336158201,0,0,2017
"08019305012",169.210081230719,0,0,2017
"08019305021",188.23405508679,188.23405508679,1,2017
"08019305022",148.286809241232,148.286809241232,1,2017
"08019305024",141.236497209954,141.236497209954,1,2017
"08019305049",181.970143203405,0,0,2017
"08019305053",105.295569732826,0,0,2017
"08019305055",438.125320258553,155.800670307676,0.355607546753364,2017
"08019305056",178.166886122674,178.166886122674,1,2017
"08019305057",333.716819520357,333.716819520357,1,2017
"08019305058",58.3695653947496,58.3695653947496,1,2017
